Front;Back;Document
After stopping a hemorrhage in a trauma placement and securing the airway, you notice the patient has no other life threatening injuries. During your interventions, you note the patient is showing signs of shock, with a weak pulse and pale diaphoretic skin. Is your patient ready for transport?;No, the patient is showing signs of shock, and requires warming by the provider. Utilize a blanket to warm the patient before transport.;Trauma ATCEMS
What are three signs of cushings triad?;Irregular RR, Bradycardia, and an increased BP;Trauma ATCEMS
Your trauma patient has a HR of 89 with a BP of 82/49, is this patient showing obvious signs of shock?;Yes, a patient with a HR higher than their SBP is a clear indicator of shock.;Trauma ATCEMS
You and your partner are rushing to make contact with an unconscious patient who has been shot several times in a road rage incident. You equip your trauma bag, and primary care bag. Your partner is preparing the zoll monitor and the stretcher, should your partner continue?;No, patients with an obvious and life threatening MOI do not need a 12 lead. Immediate patient contact and trauma care will save their life. Save the monitor for the secondary assessment.;Trauma ATCEMS
You are trying to send a trauma alert to dell seton. How should you go about this?;By stating the patients age, gender, MOI, and criteria/interventions.;Trauma ATCEMS
In traumatic arrest, your partner immediately begins compressions after failing to find a pulse for 10 seconds. However, the patient has blood pooling from his brachial artery. Should your partner continue?;No. Fix the hemorrhage first. Compressions cannot circulate blood that is leaking outside the body.;Trauma ATCEMS
What is the criteria for declaring a death/witholding?;Obvious and extreme mortal wounds, Decapitation, Decomposition, Incineration, and a submersion over 20 minutes with a witness.;Trauma ATCEMS
Your pregnant patient has miscarried. Upon assessment, the patient tells you that the fetus was 25 weeks along. Is the fetus now considered a patient?;Yes, any fetus over 21 weeks is considered a patient.;Trauma ATCEMS
How should we handle head trauma?;Incline the head to a 45 degree angle, prevent hypoxia/hypertension. Avoid hyperventilating, and evaluate for cushings triad, dilated pupils, and seizures.;Trauma ATCEMS
How should we handle trauma to the chest wall?;Evaluate structures of concern (Vessels, Lungs, and Heart.) Evaluate for flail chest, sucking v non sucking wounds, pneumothorax, and shock.;Trauma ATCEMS
How should we manage burn patients.;Aggressively. Airway security is an immediate priority. Use dry dressings, and prevent hyperthermia. Apply EtC02, and transport to dell.;Trauma ATCEMS
Who carries a cyanide kit?;AFD Battalion Commanders.;Trauma ATCEMS
What is important to assess in traumatic falls?;Did the patient hit their head, ore lose consciousness? Can they remember the event? Are they on Blood Thinners? Why did they fall? What was the height of the fall?;Trauma ATCEMS
How should we manage assaults?;Determine what the patient was assaulted with, and how. (Closed Fist.) Determine where they were assaulted, and if they lost consciousness. Determine if the patient was strangled, or sexually assaulted. Did the patient lose control of their bladder?;Trauma ATCEMS
Treating a victim of assault can be very emotional for the victim, and the provider, and will likely lead to a court hearing. What can we do to ensure the victim has a chance for justice?;Ask direct and necessary questions, document carefully and fully. Isolate the patient if needed, and get consent before every and any treatment.;Trauma ATCEMS
What three scenarios require ATCEMS medics to don a ballistic vest?;Instructions to stage, Riots/Civil Unrest, and any Forced Entry.;Trauma ATCEMS
What should we assess a patient for, before removing them from a crashed vehicle?;Any spinal injury.;Trauma ATCEMS
What is the starting PEEP pressure for drowning emergencies?;5;Trauma ATCEMS
What three things make up the trauma triangle of death?;Coagulopathy (increased lactic acid in blood), Acidosis (Decreased heart performance), and Hypothermia (decreased coagulation);Trauma ATCEMS
How should we perform a proper blood sweep?;With fingers closed like kitten paws;Trauma ATCEMS
In what order do we sweep for blood?;Legs, Neck, Arms, Chest, Back, and Cracks;Trauma ATCEMS
When assessing a trauma patients respirations, what is a critical injury the provider should be assessing for?;S/S of a tension pneumothorax;Trauma ATCEMS
When assessing head injuries in a trauma patient, what two conditions should the prover be assessing for?;Hypoxia and Hypotension;Trauma ATCEMS
What is our target fluid resuscitation in general trauma patients?;A MAP of 55-65.;Trauma ATCEMS
What is our target fluid resuscitation in general trauma patients with a suspected neurological injury?;A SDP of 90 or above;Trauma ATCEMS
What does PAWS stand for?;Pain management, Antibiotics, Wounds, and splinting.;Trauma ATCEMS
