Front;Back;Document
Why should the first blood pressure be manual?;Initial vital signs should be obtained manually to establish a reliable baseline before using electronic measurements. Subsequent electronic values should correlate with the manual set, and if there is discrepancy manual vitals should be continued;Documentation of Vital Signs
Are you required to wear your credential badges on scene?  Why/why not?;Yes. Credential badges should be visibly worn when providing patient care because proper identification is required and helps patients and responders identify credential level and capabilities. Exceptions exist when protective outerwear is required, such as bunker gear or rain gear. Badge display does not replace verbally identifying your role and credentials to the patient and team;Identification Badges
Explain what happens if a provider provides care that they are not credentialed to perform.;Practicing outside credentialed scope is a reportable patient safety event and must be reported immediately to the on-duty Designated Medical Officer, Fire Medical Officer, or agency patient safety representative. The event is then handled through the system clinical quality improvement and review process;Patient Safety Event Reporting
Discuss the process of medical cross-check and why it’s a patient safety process.;For medication administration, providers use drug formulary dosing references and perform a documented visual verification plus a Medication Administration Cross Check. The checklist is completed independently by a second credentialed provider to verify critical information before administration. This process reduces medication errors and prevents harm by catching mistakes before they reach the patient;Patient Safety and Medication Administration Safety
What must be documented regarding medication administration and medication safety procedures?;Document all of the following in the PCR: <ul><li>Medication name</li><li>Dose administered</li><li>Route</li><li>Administration time</li><li>Indication</li><li>Patient response</li><li>Completion of medication safety procedures including visual verification</li><li>Completion of medication administration cross-check per the medication safety standard</li></ul>;Medication Administration Safety
What equipment/medications must be IMMEDIATELY available at the patient’s bedside at your PL level?;Minimum equipment and medications to patient side: <ul><li><u>All PL levels:</u> appropriate PPE, defibrillator, stethoscope, BVM with masks, suction, blood pressure cuffs, oxygen with delivery devices, OPA and NPA, intranasal naloxone, oral glucose, tape, 4x4 dressings, Kerlix, mucosal atomization device, and current Clinical Operating Guidelines</li><li><u>PL2 and higher:</u> CPAP, appropriate iGel airway, epinephrine 1 mg/mL with IM supplies, and albuterol with nebulizer kit</li><li><u>PL3 and higher:</u> saline lock equipment, 250 mL D10W for infusion, and naloxone IM or IV</li><li><u>PL4 and higher:</u> laryngoscope and blades for FBAO and Magill forceps</li><li><u>PL5 and higher:</u> thoracostomy needles, Kelly forceps, and scalpels</li></ul>;Minimum Equipment to Patient Side
Discuss the application of the on-scene authority for patient care clinical standard;When patient care conflicts occur, on-scene credentialed providers should first attempt consensus focused on patient best interest and professionalism. If unresolved, <u>final authority rests with the senior credentialed provider on scene according to the hierarchy</u>, with supervised providers deferring to the assigned training officer at that officer credential level. Significant unresolved conflicts should be reported through clinical event review and to OCMO if care may have been negatively impacted;On-scene Authority for Patient Care
Discuss the circumstantial evaluation for a patient you are considering referring to an ATU, MCOT, or psychiatric ED;Circumstantial evaluation requires all of the following before referral: <ul><li>Patient understands and follows commands</li><li>Patient does not require physical restraints</li><li>Patient is not in custody of a peace officer</li><li>No physician has specifically requested ambulance transport</li><li>Patient meets general applicability criteria</li><li>Patient meets vital sign requirements</li><li>Patient has no immediate exclusion criteria</li></ul>;Patient Referral to ATU MCOT Psychiatric ED
Discuss, in some detail, the patient safety standard.;The patient safety standard focuses on reducing errors and patient harm through safe equipment and clinical practices: <ul><li>Verify medication dosing and perform medication cross-checks</li><li>Keep credentials visible as required</li><li>Verify required equipment, medications, PPE, and supplies at shift start</li><li>Restock promptly when supplies are depleted and remain out of service after major depletion or contamination until restored</li><li>Remove malfunctioning patient care equipment from service and report it</li><li>Report near misses, clinical errors, and adverse events as soon as possible through the required notification sequence</li><li>Support continuous improvement through timely self-reporting and accountability</li></ul>;Patient Safety
What MUST be reported as a patient safety event?;Mandatory patient safety reporting includes: <ul><li><u>Immediately as soon as possible:</u> medication or procedural errors with known or suspected harm, equipment failure or missing equipment causing known or suspected harm, patient injury while under system care, in-custody death, unrecognized esophageal intubation, provider impaired while on duty, potentially avoidable patient injury in EMS care, practice outside credentialed scope, disregarding or altering medical control orders, and suspected EMTALA violation</li><li><u>Within 12 hours:</u> medication or procedural errors with potential harm, equipment failures that changed care, inability to complete care due to malfunction or unavailable equipment, events reportable to regulatory agencies, franchise provider 911 calls for a patient in their care, any cardiac arrest in presence of system providers, and concerns regarding care by other healthcare providers</li></ul>;Patient Safety Event Reporting
A physician arrives on the scene. What must he/she present to participate in patient care?;A non-system EMS physician on scene should appropriately identify themselves with <u>a Texas Medical Board wallet card</u> or other identifying device. Care must be appropriate to the circumstances, documented by EMS including physician name, and when possible coordinated with OLMC;Physician on Scene
A physician on scene is asking you to do something that is outside your scope. What do you do?;Work within the Clinical Operating Guidelines and your credentialed scope, assist the physician only within those limits, and contact OLMC immediately if issues arise. Care by an on-scene non-system physician should be coordinated with OLMC whenever possible;Physician on Scene
What is an “intervener physician,” and what options does this person have if they wish to participate in patient care?;An intervener physician is an on-scene physician who is not a system EMS physician and seeks to direct or participate in care. To participate, they should identify themselves with TMB wallet card or similar identification, provide care appropriate to circumstances, have their involvement documented by EMS, and coordinate with OLMC when possible. System providers continue working within COGs while assisting for patient benefit;Physician on Scene
Explain implied consent.;Implied consent applies when emergency care is needed and informed consent cannot be obtained: <ul><li>Potentially life-threatening emergency is present</li><li>Patient cannot provide informed consent and law presumes consent if able</li><li>Patient is unable to effectively communicate due to injury, illness, accident, or altered mental status</li><li>Patient has impaired present mental capacity</li><li>Patient is a minor with a life-threatening illness or injury and no parent, conservator, or guardian is present</li></ul>;Refusal of Treatment and or Transport
Explain informed consent/refusal;Informed consent or refusal requires all of the following: <ul><li>Patient has adequate reasoning capacity</li><li>Patient is given relevant information about risks, benefits, and consequences</li><li>Patient understands the facts, implications, and future consequences of the decision</li><li>Patient understands options available if they decline evaluation and or treatment</li></ul>;Refusal of Treatment and or Transport
What is substituted (surrogate) consent?;Substituted or surrogate consent is consent given by an individual with legal standing when the patient cannot consent, such as when the patient is a minor, incarcerated, or legally incompetent. Parents or guardians may consent for a child and are presumed to act in the child best interest absent abuse or neglect;Refusal of Treatment and or Transport
Explain, in some detail, application of the refusal of treatment and/or transport standard.;Refusal application requires confirming legal eligibility and capacity. Patients refusing must be adults or emancipated minors, have present mental capacity, not be court-declared incompetent, and not be suicidal or homicidal. Patients meeting criteria may refuse any or all treatment or transport. Providers should encourage care, may involve additional resources including physician, supervisor, paramedic practitioner, or OLMC, and must not deny requested treatment or transport without OLMC and PINT process compliance;Refusal of Treatment and or Transport
What things must you consider if a patient with capacity wishes to refuse care?;Ensure refusal is informed by discussing risks, benefits, incomplete prehospital evaluation limits, and alternatives. Encourage care and consider involving physician, command staff, or OLMC for support and risk reduction;Refusal of Treatment and or Transport
What documentation needs to be included for a patient who wants to refuse care?;Documentation should include: <ol><li>Facts sufficient to demonstrate present mental capacity and patient understanding of condition and consequences of refusing treatment and or transport</li><li>If the patient refuses assessment treatment and or transport, obtain patient signature for refusal of specific assessment treatment destination recommendation or transport, with third-party witness signature</li><li>If the patient refuses to sign, document circumstances of refusal to sign</li><li>Vitals and any assessment or diagnostic findings the patient allowed providers to obtain</li><li>Direct quoted patient statements explaining their reasoning for refusing care or transport</li><li>Strategies used by providers to inform the patient of risks and benefits of accepting care or transport versus refusal</li><li>How the patient was advised to seek immediate medical care or call 911 again if needed or condition changes, and how patient acknowledged understanding</li><li>Witnesses to provider-patient interactions when applicable, including: <ol><li>Fellow first responders with name credential or agency and employee or badge number</li><li>Patient family members with name and legal relationship to patient</li><li>Care attendants friends or co-workers with name and relationship to patient</li></ol></li></ol>;Refusal of Treatment and or Transport
Describe how you would perform CPSS and VAN assessments.;Use the following sequence: <ol><li>Initiate assessment and treatment of suspected stroke patients per the most appropriate clinical guideline</li><li>Utilize the Stroke Screening checklist</li><li>Ascertain last known well time by determining when the patient was last seen normal</li><li>Obtain blood glucose according to blood glucose procedure</li><li>Perform CPSS completely. All portions must be completed, and any abnormality is stroke positive</li><li>If CPSS is positive, assess for weakness and perform VAN. Any positive VAN component is VAN positive. Positive CPSS plus weakness plus positive VAN indicates LVO</li><li>Declare the appropriate alert and identify the appropriate destination</li></ol>;Stroke and LVO Alert
Why must you get a blood glucose before calling a stroke alert?;Low BGL can mimic stroke and lead to a false positive;This is not in the COGs
Briefly discuss the System Performance Improvement standard and your part in it.;System Performance Improvement requires active participation in continuous quality improvement: <ol><li>Use performance measures that drive safe and patient-centered behaviors</li><li>Perform preplanning and post-implementation evaluation to identify clinical improvements</li><li>Review clinical errors and concerns to identify both individual and system improvements</li><li>Participate in external data registries and systems of care programs targeting system-level improvement</li></ol>Your role includes consistent self-reporting, constructive feedback, and active participation in these improvement processes. Failure to participate may result in credential consequences;System Performance Improvement
Can someone with a PL4 or higher transfer patient care to you?  If yes, under what circumstances?;Yes. A higher credentialed provider may transfer care to a lesser credentialed provider when immediate transport of a critical patient is needed and the established care left with you is within your scope, training, and equipment capability. This should not be routine and requires that all patients are accounted for, assessed, and triaged with additional resources requested. Patients requiring immediate advanced stabilization must not be left unless an appropriately credentialed and equipped provider can perform that care;Transfer of Care to Provider of Lesser Credentials
